Station,Line,Connection,Longitude,Latitude
서울역,공항철도,서울역-인천공항2터미널,126.969522,37.556328
공덕,공항철도,서울역-인천공항2터미널,126.951592,37.544018
홍대입구,공항철도,서울역-인천공항2터미널,126.925381,37.557192
디지털미디어시티,공항철도,서울역-인천공항2터미널,126.900984,37.576646
마곡나루,공항철도,서울역-인천공항2터미널,126.829497,37.567336
김포공항,공항철도,서울역-인천공항2터미널,126.801058,37.562434
계양,공항철도,서울역-인천공항2터미널,126.735637,37.571462
검암,공항철도,서울역-인천공항2터미널,126.673728,37.569104
청라국제도시,공항철도,서울역-인천공항2터미널,126.625327,37.555878
영종,공항철도,서울역-인천공항2터미널,126.5237,37.511466
운서,공항철도,서울역-인천공항2터미널,126.49379,37.492904
공항화물청사,공항철도,서울역-인천공항2터미널,126.476241,37.458366
인천공항1터미널,공항철도,서울역-인천공항2터미널,126.452508,37.447464
인천공항2터미널,공항철도,서울역-인천공항2터미널,126.4396,37.4848
청량리,수인/분당선,청량리-인천,127.046835,37.580178
왕십리,수인/분당선,청량리-인천,127.037732,37.561533
서울숲,수인/분당선,청량리-인천,127.044707,37.543617
압구정로데오,수인/분당선,청량리-인천,127.040534,37.527381
강남구청,수인/분당선,청량리-인천,127.04128,37.517186
선정릉,수인/분당선,청량리-인천,127.043593,37.51098
선릉,수인/분당선,청량리-인천,127.049008,37.504503
한티,수인/분당선,청량리-인천,127.052873,37.496237
도곡,수인/분당선,청량리-인천,127.055381,37.490858
구룡,수인/분당선,청량리-인천,127.058856,37.486839
개포동,수인/분당선,청량리-인천,127.06614,37.489116
대모산입구,수인/분당선,청량리-인천,127.07272,37.491373
수서,수인/분당선,청량리-인천,127.10188,37.487371
복정,수인/분당선,청량리-인천,127.126662,37.470047
가천대,수인/분당선,청량리-인천,127.126697,37.448605
태평,수인/분당선,청량리-인천,127.127709,37.440019
모란,수인/분당선,청량리-인천,127.129087,37.43213
야탑,수인/분당선,청량리-인천,127.128715,37.411185
이매,수인/분당선,청량리-인천,127.12827,37.396104
서현,수인/분당선,청량리-인천,127.123592,37.385126
수내,수인/분당선,청량리-인천,127.114322,37.378455
정자,수인/분당선,청량리-인천,127.108105,37.36706
미금,수인/분당선,청량리-인천,127.10891,37.350077
오리,수인/분당선,청량리-인천,127.108942,37.339824
죽전,수인/분당선,청량리-인천,127.107395,37.324753
보정,수인/분당선,청량리-인천,127.108196,37.312752
구성,수인/분당선,청량리-인천,127.105664,37.298969
신갈,수인/분당선,청량리-인천,127.111313,37.286102
기흥,수인/분당선,청량리-인천,127.115936,37.275619
상갈,수인/분당선,청량리-인천,127.108847,37.26181
청명,수인/분당선,청량리-인천,127.078934,37.259489
영통,수인/분당선,청량리-인천,127.071394,37.251568
망포,수인/분당선,청량리-인천,127.057353,37.245795
매탄권선,수인/분당선,청량리-인천,127.040566,37.252759
수원시청,수인/분당선,청량리-인천,127.030736,37.261911
매교,수인/분당선,청량리-인천,127.015678,37.265481
수원,수인/분당선,청량리-인천,126.999874,37.265974
고색,수인/분당선,청량리-인천,126.9804,37.2497
오목천,수인/분당선,청량리-인천,126.9641,37.2435
어천,수인/분당선,청량리-인천,126.9111,37.2497
야목,수인/분당선,청량리-인천,126.8841,37.2612
사리,수인/분당선,청량리-인천,126.8572,37.2909
한대앞,수인/분당선,청량리-인천,126.85344,37.309689
중앙,수인/분당선,청량리-인천,126.838573,37.315941
고잔,수인/분당선,청량리-인천,126.823249,37.316777
초지,수인/분당선,청량리-인천,126.805913,37.320646
안산,수인/분당선,청량리-인천,126.788532,37.327082
신길온천,수인/분당선,청량리-인천,126.765844,37.338212
정왕,수인/분당선,청량리-인천,126.742989,37.351735
오이도,수인/분당선,청량리-인천,126.738714,37.362357
달월,수인/분당선,청량리-인천,126.745177,37.379681
월곶,수인/분당선,청량리-인천,126.742699,37.391769
소래포구,수인/분당선,청량리-인천,126.733522,37.40095
인천논현,수인/분당선,청량리-인천,126.722478,37.400614
호구포,수인/분당선,청량리-인천,126.708627,37.401637
남동인더스파크,수인/분당선,청량리-인천,126.695216,37.407722
원인재,수인/분당선,청량리-인천,126.687389,37.412603
연수,수인/분당선,청량리-인천,126.67894,37.417804
송도,수인/분당선,청량리-인천,126.657772,37.428514
인하대,수인/분당선,청량리-인천,126.649619,37.448493
숭의,수인/분당선,청량리-인천,126.638297,37.460789
신포,수인/분당선,청량리-인천,126.623853,37.46874
인천,수인/분당선,청량리-인천,126.616936,37.476691
북한산우이,우이신설선,북한산우이-신설동,127.012789,37.663146
솔밭공원,우이신설선,북한산우이-신설동,127.013252,37.656088
4.19민주묘지,우이신설선,북한산우이-신설동,127.013746,37.649593
가오리,우이신설선,북한산우이-신설동,127.016792,37.641701
화계,우이신설선,북한산우이-신설동,127.017519,37.634802
삼양,우이신설선,북한산우이-신설동,127.018152,37.627165
삼양사거리,우이신설선,북한산우이-신설동,127.02048,37.621512
솔샘,우이신설선,북한산우이-신설동,127.013528,37.62124
북한산보국문,우이신설선,북한산우이-신설동,127.008009,37.612343
정릉,우이신설선,북한산우이-신설동,127.01349,37.602798
성신여대입구,우이신설선,북한산우이-신설동,127.016403,37.592624
보문,우이신설선,북한산우이-신설동,127.019381,37.585286
신설동,우이신설선,북한산우이-신설동,127.025087,37.575297
,,,,
발곡,의정부,발곡-탑석,127.052803,37.727048
,의정부,발곡-탑석,,
범골,의정부,발곡-탑석,127.04353,37.728755
경전철의정부,의정부,발곡-탑석,127.043257,37.737202
의정부시청,의정부,발곡-탑석,127.034781,37.739256
흥선,의정부,발곡-탑석,127.037023,37.743302
의정부중앙,의정부,발곡-탑석,127.049565,37.743676
동오,의정부,발곡-탑석,127.056947,37.745271
새말,의정부,발곡-탑석,127.06362,37.748885
경기도청북부청사,의정부,발곡-탑석,127.071495,37.75059
효자,의정부,발곡-탑석,127.076902,37.754025
곤제,의정부,발곡-탑석,127.083715,37.750471
어룡,의정부,발곡-탑석,127.085035,37.742802
송산,의정부,발곡-탑석,127.087159,37.737279
탑석,의정부,발곡-탑석,127.088704,37.733579
검단오류,인천2호선,검단오류-운연,126.627178,37.594877
왕길,인천2호선,검단오류-운연,126.642696,37.59518
검단사거리,인천2호선,검단오류-운연,126.657108,37.60185
마전,인천2호선,검단오류-운연,126.666998,37.597566
완정,인천2호선,검단오류-운연,126.673203,37.592928
독정,인천2호선,검단오류-운연,126.675844,37.585212
검암,인천2호선,검단오류-운연,126.673728,37.569104
검바위,인천2호선,검단오류-운연,126.677566,37.561405
아시아드경기장,인천2호선,검단오류-운연,126.677122,37.5517
서구청,인천2호선,검단오류-운연,126.676787,37.543742
가정,인천2호선,검단오류-운연,126.675539,37.524649
가정중앙시장,인천2호선,검단오류-운연,126.676672,37.517054
석남,인천2호선,검단오류-운연,126.676203,37.506193
서부여성회관,인천2호선,검단오류-운연,126.676203,37.506193
인천가좌,인천2호선,검단오류-운연,126.675208,37.4897
가재울,인천2호선,검단오류-운연,126.683673,37.484192
주안국가산단,인천2호선,검단오류-운연,126.68113,37.473703
주안,인천2호선,검단오류-운연,126.679923,37.464941
시민공원,인천2호선,검단오류-운연,126.681192,37.458335
석바위시장,인천2호선,검단오류-운연,126.692575,37.457611
인천시청,인천2호선,검단오류-운연,126.702221,37.457405
석천사거리,인천2호선,검단오류-운연,126.709986,37.456805
모래내시장,인천2호선,검단오류-운연,126.719298,37.45583
만수,인천2호선,검단오류-운연,126.732094,37.454911
남동구청,인천2호선,검단오류-운연,126.736939,37.448161
인천대공원,인천2호선,검단오류-운연,126.752618,37.448769
운연,인천2호선,검단오류-운연,126.75997,37.440127
계양,인천1호선,계양-국제업무지구,126.735637,37.571462
귤현,인천1호선,계양-국제업무지구,126.742654,37.566379
박촌,인천1호선,계양-국제업무지구,126.745077,37.553703
임학,인천1호선,계양-국제업무지구,126.738665,37.545059
계산,인천1호선,계양-국제업무지구,126.728128,37.543238
경인교대입구,인천1호선,계양-국제업무지구,126.722597,37.538157
작전,인천1호선,계양-국제업무지구,126.722527,37.530415
갈산,인천1호선,계양-국제업무지구,126.721514,37.517268
부평구청,인천1호선,계양-국제업무지구,126.720548,37.508336
부평시장,인천1호선,계양-국제업무지구,126.722244,37.498383
부평,인천1호선,계양-국제업무지구,126.724805,37.489493
동수,인천1호선,계양-국제업무지구,126.718247,37.485312
부평삼거리,인천1호선,계양-국제업무지구,126.710208,37.477679
간석오거리,인천1호선,계양-국제업무지구,126.707938,37.467048
인천시청,인천1호선,계양-국제업무지구,126.702221,37.457405
예술회관,인천1호선,계양-국제업무지구,126.701012,37.449396
인천터미널,인천1호선,계양-국제업무지구,126.699706,37.442383
문학경기장,인천1호선,계양-국제업무지구,126.698579,37.434935
선학,인천1호선,계양-국제업무지구,126.698863,37.426684
신연수,인천1호선,계양-국제업무지구,126.693863,37.41804
원인재,인천1호선,계양-국제업무지구,126.687389,37.412603
동춘,인천1호선,계양-국제업무지구,126.681015,37.404737
동막,인천1호선,계양-국제업무지구,126.674005,37.397878
캠퍼스타운,인천1호선,계양-국제업무지구,126.661673,37.387855
테크노파크,인천1호선,계양-국제업무지구,126.656365,37.382268
지식정보단지,인천1호선,계양-국제업무지구,126.645168,37.378384
인천대입구,인천1호선,계양-국제업무지구,126.639484,37.386007
센트럴파크,인천1호선,계양-국제업무지구,126.634729,37.393054
국제업무지구,인천1호선,계양-국제업무지구,126.630347,37.399907
강남,신분당선,강남-광교,127.027926,37.497175
양재,신분당선,강남-광교,127.034631,37.484147
양재시민의숲,신분당선,강남-광교,127.03842,37.470023
청계산입구,신분당선,강남-광교,127.055664,37.447211
판교,신분당선,강남-광교,127.111217,37.394761
정자,신분당선,강남-광교,127.108105,37.36706
미금,신분당선,강남-광교,127.10891,37.350077
동천,신분당선,강남-광교,127.102976,37.337928
수지구청,신분당선,강남-광교,127.095026,37.322702
성복,신분당선,강남-광교,127.0801,37.313335
상현,신분당선,강남-광교,127.069342,37.297664
광교중앙,신분당선,강남-광교,127.051478,37.288617
광교,신분당선,강남-광교,127.044483,37.30211
기흥,용인에버라인,기흥-전대·에버랜드,127.115936,37.275619
강남대,용인에버라인,기흥-전대·에버랜드,127.126033,37.270161
지석,용인에버라인,기흥-전대·에버랜드,127.136515,37.269606
어정,용인에버라인,기흥-전대·에버랜드,127.143714,37.274917
동백,용인에버라인,기흥-전대·에버랜드,127.152716,37.269043
초당,용인에버라인,기흥-전대·에버랜드,127.159443,37.260752
삼가,용인에버라인,기흥-전대·에버랜드,127.168075,37.242115
시청·용인대,용인에버라인,기흥-전대·에버랜드,127.178406,37.239151
명지대,용인에버라인,기흥-전대·에버랜드,127.190294,37.237964
김량장,용인에버라인,기흥-전대·에버랜드,127.198781,37.237247
운동장·송담대,용인에버라인,기흥-전대·에버랜드,127.209198,37.237845
고진,용인에버라인,기흥-전대·에버랜드,127.214251,37.24484
보평,용인에버라인,기흥-전대·에버랜드,127.218457,37.258965
둔전,용인에버라인,기흥-전대·에버랜드,127.21364,37.267051
전대·에버랜드,용인에버라인,기흥-전대·에버랜드,127.219561,37.285342
